SharkID,Location,Estuary,ThreeRegion,TwoRegion,Annulus Sampled,Age,Year.Collected,Sampled.Year,d13C,d18O,Li,Mg,Ca,Mn,Cu,Zn,Sr,Ba
Cleu_Dic02,Galveston Bay,Galveston,North,North,0,0,2013,2013,-5.53,-1.34,10.16650656,25692.93936,0.009744746,111.4571394,7.452381323,31.10538442,2785.341559,23.12388029
Cleu_Dic01,Galveston Bay,Galveston,North,North,0,0,2013,2013,-6.01,0.81,10.57646591,26249.37343,0.009330151,87.77980068,96.09235944,30.86848911,2259.911755,39.90818543
Cleu_Dic28,Galveston Bay,Galveston,North,North,0,0,2014,2014,-7.04,0.01,6.638592133,24738.92044,0.009837747,68.90738868,0.939994404,24.09293987,1754.079895,39.67608032
Cleu_Dic26,Galveston Bay,Galveston,North,North,0,0,2014,2014,-6.62,0.24,6.8653231,24926.39947,0.011703637,108.595021,12.57535259,36.20035026,2300.516643,26.0072142
Cleu_Dic30,Galveston Bay,Galveston,North,North,0,0,2014,2014,-6.53,0.24,7.966633999,35903.1583,0.008575086,115.8882134,25.5684059,38.84224798,2276.30742,36.8646663
Cleu_Dic15,Galveston Bay,Galveston,North,North,0,0,2014,2014,-6.39,1.07,8.94277388,22277.68092,0.008354307,91.01781463,36.62449355,36.25528251,1549.518365,16.71320251
Cleu_Dic11,Galveston Bay,Galveston,North,North,0,0,2014,2014,-7.7,-1.3,9.434401654,24995.20335,0.009177418,75.44061811,2.447885168,53.62073885,2192.535823,46.60981187
Cleu_Dic07,Galveston Bay,Galveston,North,North,0,0,2014,2014,-4.97,1.35,10.08273578,21757.26499,0.008826696,88.99328982,0.848647761,29.68401255,2329.465238,23.85452103
Cleu_Dic05,Galveston Bay,Galveston,North,North,0,0,2014,2014,-5.75,0.32,11.5658668,31882.51807,0.007912377,87.2302576,8.559067456,91.28537678,2525.444662,26.56214156
Cleu_Dic10,Galveston Bay,Galveston,North,North,0,0,2014,2014,-6.01,2.88,12.29279668,22957.86963,0.008675065,83.17099341,1.159918689,41.2850163,1999.246312,33.34304334
Cleu_Dic09,Galveston Bay,Galveston,North,North,0,0,2014,2014,-5.82,2.41,13.05805412,20460.1502,0.00821939,81.29151527,1.025883562,30.73287513,2007.956508,15.76925391
Cleu_Dic06,Galveston Bay,Galveston,North,North,0,0,2014,2014,-4.43,1.08,13.98761874,19986.83491,0.00824297,90.76653658,0.790081351,31.21868218,2458.19682,17.61383573
Cleu_Dic54,Galveston Bay,Galveston,North,North,0,0,2015,2015,-11.63,-1.09,3.259783231,23488.9063,0.008227889,22.44076467,3.491377509,46.9499042,887.2872374,22.84682525
Cleu_Dic51,Galveston Bay,Galveston,North,North,0,0,2015,2015,-7.61,1.41,5.8026632,24107.67946,0.006694829,100.192528,3.136199435,26.7726035,1593.837895,40.05284249
Cleu_Dic53,Galveston Bay,Galveston,North,North,0,0,2015,2015,-9.18,-0.01,5.846650948,18551.18882,0.009935287,72.46409676,3.184416051,27.19661178,1218.454037,27.10889621
Cleu_Dic48,Galveston Bay,Galveston,North,North,0,0,2015,2015,-8.28,-0.52,6.637783535,32528.53572,0.008922525,158.4420499,122.8958525,37.58738948,1683.629775,35.13695432
Cleu_Dic44,Galveston Bay,Galveston,North,North,0,0,2015,2015,-9.4,-0.59,6.71185114,20703.50353,0.005980818,173.524862,31.81855095,41.89270428,1562.327477,36.53857497
Cleu_Dic36,Galveston Bay,Galveston,North,North,0,0,2015,2015,-6.19,0.72,8.567745984,22085.58418,0.007111987,133.9291606,4.398838944,29.70976204,2347.013722,27.95150314
Cleu_Dic55,Galveston Bay,Galveston,North,North,0,0,2015,2015,-5.38,1.34,15.55581431,22142.38201,0.008244638,78.62143056,2.525985488,32.97994733,2549.910067,22.45453492
Cleu_Dic69,Galveston Bay,Galveston,North,North,0,0,2016,2016,-12.25,-1.78,2.429514485,21120.94452,0.007372856,49.74488332,5.332616407,25.73232409,1605.788797,15.85261561
Cleu_Dic66,Galveston Bay,Galveston,North,North,0,0,2016,2016,-8.68,-0.7,3.248948014,30462.11042,0.006814041,82.3354428,8.140307032,15.31837185,1620.224667,26.02682872
Cleu_Dic68,Galveston Bay,Galveston,North,North,0,0,2016,2016,-9.22,-1.47,3.299727988,24563.90922,0.00571271,116.035303,9.124243904,40.34086832,1511.4753,29.91785841
Cleu_Dic67,Galveston Bay,Galveston,North,North,0,0,2016,2016,-9.53,-0.7,4.614347122,23219.23202,0.006700458,49.86337215,7.425182208,16.45375271,2415.542475,15.81665566
Cleu_Dic65,Galveston Bay,Galveston,North,North,0,0,2016,2016,-7.09,-0.69,6.479621705,20382.57267,0.008741568,82.37630102,10.91956222,17.79907776,1780.466667,25.35094517
Cleu_Dic62,Galveston Bay,Galveston,North,North,0,0,2016,2016,-6.94,0.34,9.705928966,20769.99855,0.012986181,89.36305671,4.100673044,17.30932245,1812.361357,15.51916883
Cleu_Dic52,Galveston Bay,Galveston,North,North,0,0,2016,2016,-10.3,-1.37,17.9541169,20807.86378,0.005499825,70.92578476,15.56372306,37.74703632,2463.576648,22.28944607
Cleu_Mat02,Matagorda Bay,Matagorda,Central,North,0,0,2013,2013,-5.96,0.82,5.811557781,27224.17205,0.008921716,229.4679373,77.75768224,62.55066213,2447.052892,60.65217106
Cleu_Mat04,Matagorda Bay,Matagorda,Central,North,0,0,2013,2013,-5.99,0.15,16.9466034,29017.69068,0.007867067,67.36274365,47.01561579,110.6352605,3790.856907,11.43771488
Cleu_Mat01,Matagorda Bay,Matagorda,Central,North,0,0,2013,2013,-5.7,0.71,18.66568341,31830.33794,0.008897941,138.0027252,59.25521825,75.49407264,3243.267338,30.01266191
Cleu_Mat03,Matagorda Bay,Matagorda,Central,North,0,0,2013,2013,-5.96,0.82,25.15549346,33713.44014,0.009717499,100.9708771,210.2933255,70.1467618,3383.783305,22.30824332
Cleu_Mat09,Matagorda Bay,Matagorda,Central,North,0,0,2015,2015,-6.07,-0.95,9.03851192,18463.45233,0.010468195,64.07794703,2.988723706,18.18274516,1852.197698,16.03895352
Cleu_Mat08,Matagorda Bay,Matagorda,Central,North,0,0,2015,2015,-6.58,0.25,9.940745915,22501.63986,0.008046383,108.3968587,983.8309022,25.92802022,2189.717818,29.00496613
Cleu_Mat12,Matagorda Bay,Matagorda,Central,North,0,0,2015,2015,-6.48,-1.22,12.49494626,22072.65459,0.008634507,101.5265489,64.078646,33.87602959,1965.174072,26.84491751
Cleu_Mat10,Matagorda Bay,Matagorda,Central,North,0,0,2015,2015,-6.76,-1.26,14.14012038,24785.55931,0.00957466,82.47027493,61.06908141,27.54165495,2303.078465,23.68698037
Cleu_Mat13,Matagorda Bay,Matagorda,Central,North,0,0,2015,2015,-5.77,-0.99,14.34841531,27531.24978,0.010310991,98.89936535,7.556055877,28.32100619,2341.633894,26.39541817
Cleu_Mat06,Matagorda Bay,Matagorda,Central,North,0,0,2015,2015,-5.99,0.15,14.63013096,26713.45331,0.007625534,121.1344089,1.24593148,35.66991076,2631.119842,33.12564911
Cleu_Mat07,Matagorda Bay,Matagorda,Central,North,0,0,2015,2015,-5.2,0.84,15.00014555,23923.89459,0.008199925,76.10456419,28.2537005,33.49493714,2612.546628,22.03854372
Cleu_Mat14,Matagorda Bay,Matagorda,Central,North,0,0,2016,2016,-4.96,2.05,4.767657361,26138.08662,0.005745894,26.61320614,4.698735697,41.66439213,2484.455501,9.011726105
Cleu_Mat31,Matagorda Bay,Matagorda,Central,North,0,0,2016,2016,-6.97,-0.84,7.124236279,19739.78741,0.005470925,98.85646422,17.58829107,24.30580232,2220.459688,23.35843722
Cleu_Mat33,Matagorda Bay,Matagorda,Central,North,0,0,2016,2016,-6.79,-0.12,7.163534157,27279.1228,0.007192932,59.40376661,28.4319077,31.13971708,1843.487501,19.90873415
Cleu_Mat34,Matagorda Bay,Matagorda,Central,North,0,0,2016,2016,-6.9,-0.9,7.334956999,16421.96266,0.008613003,79.97588058,23.52317363,24.41910008,2188.693089,32.99488567
Cleu_Mat15,Matagorda Bay,Matagorda,Central,North,0,0,2016,2016,-6.43,-0.26,7.671495616,20436.59988,0.008717541,88.62148001,3.557255889,26.15118247,2363.921751,14.52700121
Cleu_Mat37,Matagorda Bay,Matagorda,Central,North,0,0,2016,2016,-7.07,-0.45,7.898388302,24341.79736,0.008508157,79.46719574,32.1214502,26.13401614,2300.004278,21.99522833
Cleu_Mat30,Matagorda Bay,Matagorda,Central,North,0,0,2016,2016,-7.47,-0.24,7.9469042,22479.47486,0.007251544,70.22098046,71.44890011,35.90337281,1797.758969,23.13450482
Cleu_Mat32,Matagorda Bay,Matagorda,Central,North,0,0,2016,2016,-6.67,-0.74,8.439178852,36015.36866,0.007445554,102.1578084,41.30380131,45.17318935,2532.745856,26.51637436
Cleu_Mat21,Matagorda Bay,Matagorda,Central,North,0,0,2016,2016,-5.72,-0.07,12.30023579,17803.11977,0.009857909,112.8361043,33.83393484,22.05873012,2843.366839,21.69937604
Cleu_Mat24,Matagorda Bay,Matagorda,Central,North,0,0,2016,2016,-6.24,0.46,12.6877161,27536.79103,0.008416388,98.18434648,43.16888359,29.70804541,2840.805017,28.0847184
Cleu_Mat29,Sabine Lake,Matagorda,Central,North,0,0,2016,2016,-6.49,-0.46,8.063989236,22279.52801,0.009175878,59.88997944,105.5431694,28.27980701,2042.797295,16.2833177
Cleu_Sab01,Sabine Lake,Sabine,North,North,0,0,2013,2013,-6.48,0.33,5.895005126,22251.35997,0.008712752,171.0529396,2.140570474,34.2021898,2647.515506,28.47128782
Cleu_Sab03,Sabine Lake,Sabine,North,North,0,0,2013,2013,-6.7,0.94,8.262257542,27897.43419,0.007281396,69.38338694,86.97359069,34.41848552,3064.708307,15.7610812
Cleu_Sab05,Sabine Lake,Sabine,North,North,0,0,2013,2013,-6.45,-0.87,9.097863037,32328.1271,0.007571179,126.3581324,136.6649637,66.68431366,2875.26153,30.78253167
Cleu_Sab02,Sabine Lake,Sabine,North,North,0,0,2013,2013,-6.39,-0.05,10.8379666,24958.72344,0.009592574,59.9022369,34.05188101,33.84856347,2502.51635,26.01538692
Cleu_Sab09,Sabine Lake,Sabine,North,North,0,0,2014,2014,-6.03,-0.48,6.65444066,18827.78966,0.008667826,64.48448632,0.709437737,13.205197,2238.392446,28.34787983
Cleu_Sab17,Sabine Lake,Sabine,North,North,0,0,2014,2014,-7.94,0.4,6.873085644,23332.82769,0.007306501,101.0995805,4.077041604,32.21089588,2109.788954,25.43594141
Cleu_Sab10,Sabine Lake,Sabine,North,North,0,0,2014,2014,-6.4,-0.4,8.966061512,22009.85373,0.007293233,85.38550896,1.656885405,26.99576575,1778.289117,19.6202373
Cleu_Sab07,Sabine Lake,Sabine,North,North,0,0,2014,2014,-5.66,-0.13,9.929587259,25063.54546,0.007522424,103.2180792,6.48116092,31.40579515,3127.472959,23.09037216
Cleu_Sab06,Sabine Lake,Sabine,North,North,0,0,2014,2014,-6.4,-1.03,9.994275124,25838.39723,0.007409682,65.40992501,7.691698226,28.30898976,2692.091218,21.75903686
Cleu_Sab11,Sabine Lake,Sabine,North,North,0,0,2014,2014,-6.83,-1.31,9.999611872,26556.45116,0.008086196,74.75828583,2.702249893,35.12573819,2278.356878,56.25770212
Cleu_Sab08,Sabine Lake,Sabine,North,North,0,0,2014,2014,-6.35,1.1,10.65635542,25280.57784,0.007067391,90.22720808,2.63213269,41.84463856,2754.343506,26.53925796
Cleu_Sab15,Sabine Lake,Sabine,North,North,0,0,2014,2014,-6.92,-0.51,10.82616107,21925.34964,0.007153839,77.46105711,6.211607078,38.5967695,2940.588005,22.80432713
Cleu_Sab37,Sabine Lake,Sabine,North,North,0,0,2015,2015,-7.53,-1.32,7.181970198,27031.61354,0.009517101,95.18331021,1.3372428,41.94591989,1887.294667,27.91717774
Cleu_Sab26,Sabine Lake,Sabine,North,North,0,0,2015,2015,-7.26,-0.09,7.468860879,21863.01055,0.008065608,100.1823135,1.857364088,29.29605357,2067.006518,19.3047705
Cleu_Sab35,Sabine Lake,Sabine,North,North,0,0,2015,2015,-7.07,-0.21,8.369801117,26056.81492,0.008209911,97.63276051,1.614921054,35.65789433,2228.65752,24.98153845
Cleu_Sab39,Sabine Lake,Sabine,North,North,0,0,2016,2016,-10.25,-2.42,3.985904514,23410.40522,0.006516557,103.9310552,1.397928621,26.81895259,1148.746846,50.03908315
Cleu_Sab44,Sabine Lake,Sabine,North,North,0,0,2016,2016,-7.65,-1.42,4.143419465,21578.5596,0.009708985,63.77355328,2.913714194,19.39880776,2535.563861,17.29428256
Cleu_Sab47,Sabine Lake,Sabine,North,North,0,0,2016,2016,-7.47,-0.89,4.985493746,27924.67868,0.009471262,97.34062424,24.08887993,34.88025972,2662.886441,14.4926758
Cleu_Sab48,Sabine Lake,Sabine,North,North,0,0,2016,2016,-7.05,-0.97,5.209960638,21136.64474,0.009608004,52.3028122,17.92121532,27.07129759,2765.871708,12.3143203
Cleu_Sab31,Sabine Lake,Sabine,North,North,0,0,2016,2016,-7.64,0.27,5.417285245,22749.14913,0.007076633,88.94425995,0.927754802,45.59891426,1799.680336,36.43641603
Cleu_Sab40,Sabine Lake,Sabine,North,North,0,0,2016,2016,-7.56,-0.71,6.647001556,23764.5836,0.007640488,81.12603949,3.717271471,44.84359588,2744.736671,19.37669039
Cleu_Sab46,Sabine Lake,Sabine,North,North,0,0,2016,2016,-7.54,-1.41,6.90365066,34039.45048,0.005986306,186.2460689,34.89258097,42.55189123,3065.092581,18.39269548
Cleu_Sab49,Sabine Lake,Sabine,North,North,0,0,2016,2016,-7.23,-1.5,10.29749949,21837.15137,0.010655624,53.88994977,41.99614246,17.68217507,1610.36165,8.414709262
Cleu_Sab45,Sabine Lake,Sabine,North,North,0,0,2016,2016,-8.25,-0.68,17.54803883,77783.48065,0.005402876,242.4138645,35.86680388,77.04419196,4597.318643,73.25122877
Cleu_Sab41,Sabine Lake,Sabine,North,North,0,0,2016,2016,-8.05,-0.59,27.06055108,24213.42502,0.006385024,118.7911899,4.255602038,36.12996832,2183.18517,14.89395612
Cleu_San03,Aransas Bay,Aransas/Corpus,South,South,0,0,2013,2013,-5.65,1.67,18.61231592,27622.68044,0.008722861,49.84192159,0.828107129,37.77965234,2982.601895,20.83061642
Cleu_San04,Aransas Bay,Aransas/Corpus,South,South,0,0,2013,2013,-5.11,0.97,18.92766926,20986.56916,0.007332307,50.77655338,1.276080111,27.60002046,3044.598,28.1362065
Cleu_San02,Aransas Bay,Aransas/Corpus,South,South,0,0,2013,2013,-5.92,1.34,21.94535816,26068.82097,0.006494407,37.06473891,1.063821031,71.42565314,3508.544062,11.36800162
Cleu_San05,Aransas Bay,Aransas/Corpus,South,South,0,0,2013,2013,-4.47,2.61,24.28382448,29944.00334,0.007774906,132.7136285,6.655305913,58.27453007,3179.477957,32.60504716
Cleu_San07,Aransas Bay,Aransas/Corpus,South,South,0,0,2013,2013,-5.93,1.47,38.90328194,25374.77913,0.007505398,89.12199321,1.29418342,43.54753819,3029.355156,25.36810788
