SAMPLE_ID	AGE	d13C	d18O	LITHIUM	MAGNESIUM	CALCIUM	MANGANESE	COBALT	COPPER	ZINC	STRONTIUM	BARIUM	AREA	BAY	STATION	DATE	MONTH	YEAR	DEPTH_SHALLOW	DEPTH_DEEP	TEMPERATURE	DO	SALINITY	TURBIDITY	DEPTH_SHALLOW_END	DEPTH_DEEP_END	TEMP_END	DO_END	SALINITY_END	TURBIDITY_END
Cleu_Ara048	1												6	130	73	4/14/2015	april	2015	0.0	2.3	25.1	6.8	30.6	13.0	0.0	2.1	24.1	5.5	30.8	16.0
Cleu_Ara049	0																													
Cleu_Ara050	0												5	20	155	10/29/2014	oct	2014	0.2	0.8	27.3	7.6	34.4	9.0	0.2	0.9	25.4	5.0	34.8	6.0
Cleu_Ara051	0												5	20	155	10/29/2014	oct	2014	0.2	0.8	27.3	7.6	34.4	9.0	0.2	0.9	25.4	5.0	34.8	6.0
Cleu_Ara052	0												5	20	155	10/29/2014	oct	2014	0.2	0.8	27.3	7.6	34.4	9.0	0.2	0.9	25.4	5.0	34.8	6.0
Cleu_Ara053	0												5	20	155	10/29/2014	oct	2014	0.2	0.8	27.3	7.6	34.4	9.0	0.2	0.9	25.4	5.0	34.8	6.0
Cleu_Ara054	0																													
Cleu_Ara055	0	-3.46	2.74	17.23786051	25631.98558	0.008228887	9.902194	0.389482704	1.657220979	41.50302865	3166.540753	7.697798688																		
Cleu_Ara056	0																													
Cleu_Ara057	0																													
Cleu_Ara058	0																													
Cleu_Ara059	2	-5.38	1.18	21.43755842	15546.44481	0.008452653	30.25142637	0.113732035	3.255557636	18.21896611	3162.185655	16.64536898																		
Cleu_Ara059	2	-6.09	1.29																											
Cleu_Ara059	2	-5.56	1.74																											
Cleu_Ara060	0	-3.5	2.64	17.86986095	20605.1463	0.011444065	56.35982919	0.444682352	1.783873488	37.00888426	2755.368235	22.24367887																		
Cleu_Ara061	0																													
Cleu_Ara062	0																													
Cleu_Ara063	0																													
Cleu_Ara064	0	-5.3	0	8.435135861	31881.59452	0.008864123	16.74247297	0.509944963	1.216047776	51.03377337	2978.502978	3.430006828																		
Cleu_Ara065	0	-7.14	1.32	7.629933663	22777.31716	0.009903732	63.57539091	0.18115045	3.619248681	30.00502287	1864.110173	32.03459164																		
Cleu_Ara066	0																													
Cleu_Ara067	0	-4.75	2.86	17.75698063	25276.88367	0.009790003	12.71814255	0.218391407	3.747119852	30.67279299	3050.746374	8.596225266																		
Cleu_Ara068	0	-7.61	-2.34	10.85818156	22379.27054	0.007520335	80.63574083	0.291355496	0.858185113	36.59174252	2223.790057	20.06973664																		
Cleu_Ara069	0																													
Cleu_Ara070	0	-2.57	2.77	17.52200196	24478.01982	0.008669439	74.74398546	0.198863472	1.532299322	40.26018658	3013.343765	25.74487005	6	284	64	5/10/2015	may	2015	0.2	1.1	28.4	6.6	28.2	9.0	0.0	1.0	26.5	3.4	28.3	3.0
Cleu_Ara071	0	-5.56	1.82	18.06732066	19628.96237	0.010900013	81.47129144	0.468371448	1.322954433	29.84022613	2592.820595	18.71388319																		
Cleu_Ara072	0																													
Cleu_Ara073	0	-5.63	1.91	13.19923539	20657.7882	0.009254787	85.19143242	0.195679279	2.270861307	30.40671492	2586.672221	21.26703941																		
Cleu_Ara074	0	-6.14	1.12	8.937922292	20058.87119	0.007766768	101.3488157	0.324086784	3.605649122	31.99460016	2542.352691	21.61683162																		
Cleu_Ara075a	0												6	284	64	5/10/2015	may	2015	0.2	1.1	28.4	6.6	28.2	9.0	0.0	1.0	26.5	3.4	28.3	3.0
Cleu_Ara076a	1																													
Cleu_Ara077a	2																													
Cleu_Ara080	1																													
Cleu_Ara081	0	-5.03	0.36	22.00519444	23398.86095	0.010060433	65.24036339	0.059903188	11.51476366	27.94163037	3120.556039	10.00364854																		
Cleu_Ara082	0																													
Cleu_Ara085	2																													
Cleu_Ara086	0	-7.12	-0.33	5.713717385	19850.61246	0.009718087	56.40885906	0.107957829	1.722869755	28.59395079	1980.160734	28.59060947																		
Cleu_Ara087	0	-3.71	0.47	9.308583757	23327.28644	0.011374957	81.64493888	0.177973875	2.527751665	25.11038807	2745.889492	21.71326966																		
Cleu_Ara088	0																													
Cleu_Ara089	0	-5.57	1.24	17.08374168	27154.9064	0.006051695	12.51385145	0.047528069	32.03314138	40.3769176	4192.678772	2.946999362	6	130	212	6/8/2016	june	2016	0.40	2.20	29.50	6.30	24.90	12.00	0.30	1.80	28.80	5.60	25.20	6.00
Cleu_Ara090	0	-5.3	0.64	20.51413915	21520.37645	0.009939232	29.66715382	0.058669504	5.940181089	21.73771981	3209.707463	5.98275441																		
Cleu_Ara091	1																													
Cleu_Ara092	0																													
Cleu_Ara093	0	-4.5	1.04	16.30134195	19901.86904	0.008570885	56.8419562	0.119995676	1.552716321	23.81827864	3602.819132	9.956818886	6	130	239	6/8/2016	june	2016	0.00	2.20	29.20	8.10	26.40	4.00	0.00	2.00	28.30	5.40	26.70	5.00
Cleu_Ara094	0	-5.33	0.72	13.76832688	18820.40132	0.008147944	54.63356938	0.13521581	38.3751276	19.30696792	2951.988115	11.12633443																		
Cleu_Ara095	1																													
Cleu_Ara096	0																													
Cleu_Ara097	1																													
Cleu_Ara098	1																													
Cleu_Ara099	0																													
Cleu_Dic001	0	-6.01	0.81	10.57646591	26249.37343	0.009330151	87.77980068	0.120713643	96.09235944	30.86848911	2259.911755	39.90818543																		
Cleu_Dic002	0	-5.53	-1.34	10.16650656	25692.93936	0.009744746	111.4571394	0.10716559	7.452381323	31.10538442	2785.341559	23.12388029																		
Cleu_Dic003	0	-5.88	0.81	8.016605375	26070.66805	0.010513169	87.10972585	0.101825593	50.22299214	27.92789731	2628.173746	26.89231926																		
Cleu_Dic004	0	-6.53	-0.01	6.656057857	23007.27913	0.010218038	80.2026437	0.132294428	10.84167384	29.81447664	2352.009276	38.72314173																		
Cleu_Dic005	0	-5.75	0.32	11.5658668	31882.51807	0.007912377	87.2302576	0.411792998	8.559067456	91.28537678	2525.444662	26.56214156																		
Cleu_Dic006	0	-4.43	1.08	13.98761874	19986.83491	0.00824297	90.76653658	0.61259517	0.790081351	31.21868218	2458.19682	17.61383573																		
Cleu_Dic007	0	-4.97	1.35	10.08273578	21757.26499	0.008826696	88.99328982	0.500710424	0.848647761	29.68401255	2329.465238	23.85452103																		
Cleu_Dic008	0	-6.08	0.06	15.00823153	18826.86612	0.010892133	78.44982604	0.276064898	0.761169043	30.85990595	2445.900072	20.19314463																		
Cleu_Dic009	0	-5.82	2.41	13.05805412	20460.1502	0.00821939	81.29151527	0.270980094	1.025883562	30.73287513	2007.956508	15.76925391	2	180	268	6/11/2014	june	2014	0.2	1.8	30.5	9.9	9.8	9.0	0.4	2.0	29.3	5.2	9.9	12.0
Cleu_Dic010	0	-6.01	2.88	12.29279668	22957.86963	0.008675065	83.17099341	0.303221945	1.159918689	41.2850163	1999.246312	33.34304334	2	180	268	6/11/2014	june	2014	0.2	1.8	30.5	9.9	9.8	9.0	0.4	2.0	29.3	5.2	9.9	12.0
Cleu_Dic011	0	-7.7	-1.3	9.434401654	24995.20335	0.009177418	75.44061811	0.251993014	2.447885168	53.62073885	2192.535823	46.60981187																		
Cleu_Dic012	0																													
Cleu_Dic014	0																													
Cleu_Dic015	0	-6.39	1.07	8.94277388	22277.68092	0.008354307	91.01781463	0.321180637	36.62449355	36.25528251	1549.518365	16.71320251	2	180	167	9/22/2104	sept	2014	1.3	2.5	29.9	11.7	12.3	6.0	1.3	2.3	26.6	6.8	13.0	14.0
Cleu_Dic016	0	-6.68	0.19										2	180	167	9/22/2104	sept	2014	1.3	2.5	29.9	11.7	12.3	6.0	1.3	2.3	26.6	6.8	13.0	14.0
Cleu_Dic017	0												2																	
Cleu_Dic018	1												2																	
Cleu_Dic019	0												2																	
Cleu_Dic020	0												2	330	225	9/16/2014	sept	2014	0.4	0.7	29.0	5.8	16.4	16.0	0.5	1.0	27.0	4.2	19.1	7.0
Cleu_Dic021	0												2	330	225	9/16/2014	sept	2014	0.4	0.7	29.0	5.8	16.4	16.0	0.5	1.0	27.0	4.2	19.1	7.0
Cleu_Dic022	0												2	330	225	9/16/2014	sept	2014	0.4	0.7	29.0	5.8	16.4	16.0	0.5	1.0	27.0	4.2	19.1	7.0
Cleu_Dic023	0												2	330	225	9/16/2014	sept	2014	0.4	0.7	29.0	5.8	16.4	16.0	0.5	1.0	27.0	4.2	19.1	7.0
Cleu_Dic024	0												2	330	225	9/16/2014	sept	2014	0.4	0.7	29.0	5.8	16.4	16.0	0.5	1.0	27.0	4.2	19.1	7.0
Cleu_Dic025	0	-7.67	0.75	8.16716638	18927.99397	0.007493964	43.32197107	0.142285022	3.198722079	35.14462115	1980.673098	24.2827713	2	150	297	10/8/2014	oct	2014	0.6	1.4	28.6	8.0	11.4		0.7	1.4	26.6	5.9	15.1	
Cleu_Dic026	0	-6.28	0.97	6.8653231	24926.39947	0.011703637	108.595021	0.202051473	12.57535259	36.20035026	2300.516643	26.0072142	2		16	10/29/2014	oct	2014	0.2	0.2	26.2	8.3	9.1	18.0	0.6	0.7	23.1	6.2	12.7	6.0
Cleu_Dic027	0	-6.11	0.96										2		16	10/29/2014	oct	2014	0.2	0.2	26.2	8.3	9.1	18.0	0.6	0.7	23.1	6.2	12.7	6.0
Cleu_Dic028	0	-7.04	0.01	6.638592133	24738.92044	0.009837747	68.90738868	0.147531702	0.939994404	24.09293987	1754.079895	39.67608032																		
Cleu_Dic029	0												2																	
Cleu_Dic030	0	-6.53	0.24	7.966633999	35903.1583	0.008575086	115.8882134	0.258751805	25.5684059	38.84224798	2276.30742	36.8646663	2																	
Cleu_Dic031	0	-6.78	0.56	10.93839451	20193.24655	0.009481166	60.41296466	0.181523716	1.015127548	28.33473926	2184.594173	34.71524221	2	100	609	10/28/2014	oct	2014	0.2	0.9	25.6	6.7	20.4	11.0	0.5	1.2	24.2	5.3	20.9	6.0
Cleu_Dic032	0	-7.59	0.82	12.5627068	20855.88796	0.008339456	65.32412275	0.205315651	2.258286131	37.86376734	1916.755626	31.97983445	2																	
Cleu_Dic033	1												2																	
